iter	Passed	Remaining
0	1	147
1	2	130
2	3	123
3	4	113
4	5	111
5	6	108
6	8	107
7	9	105
8	10	103
9	11	102
10	12	100
11	13	99
12	14	98
13	15	97
14	16	95
15	17	94
16	19	93
17	20	91
18	21	90
19	22	89
20	23	88
21	24	86
22	25	85
23	26	84
24	27	83
25	28	82
26	29	81
27	31	79
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	72
34	38	71
35	39	70
36	40	69
37	41	68
38	43	67
39	44	66
40	45	65
41	45	63
42	46	61
43	47	60
44	49	59
45	50	58
46	51	58
47	52	57
48	53	56
49	55	55
50	56	53
51	57	53
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	40
63	70	39
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	80	31
72	81	30
73	82	28
74	83	27
75	84	26
76	85	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	19
83	93	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
